 612 , 573 , -185 , 518 , -911 , -934 , -507 , 832 , -343 , -936 , 791 , 606 , -420 , 710 ,= ( ( A26 - ( Y8 - K8 ) ) - C4 ) , 757 , 746 , 897 , 836 , -956 , 703 , 69 , 540 , 466 , -380 
 -916 , -911 , 561 , -236 , -952 , 231 , 581 , 65 , -464 , -423 , -885 , -736 , -57 , -131 , 15 , 238 , 401 , 734 , -332 ,= ( C18 - ( ( K8 + J18 ) + Y26 ) ) , -204 , -757 , 373 , 803 , -168 
 -20 , -99 , 92 , -856 , -192 ,= ( ( ( T2 + C4 ) + X18 ) + P16 ) , 897 , 211 , -808 , 836 , 606 , 395 , 164 , 119 , -169 , 905 , 126 , 366 , 934 , 421 , 821 , -579 , -218 , 399 , 100 
 -574 , -795 ,= ( ( ( Y15 - X19 ) + G20 ) - E4 ) , -515 , -576 , -31 , 861 , 862 , -808 , 614 , 205 , -672 , 221 , -900 , -839 , -876 , -154 , -541 , -942 , 544 , -803 , -661 , 418 , 983 , 408 
 -717 , -938 , -361 , 868 , 605 , -559 , 727 , -195 , 523 , 927 , 855 , -110 , 278 , -748 , 28 , -793 , 774 , 871 , 288 , 182 , -574 , -137 , -389 , 983 , -584 
 152 , 966 , 753 , 257 , -186 , 713 , 395 , -202 , -13 , -5 , 614 ,= ( ( F22 + ( T2 + O1 ) ) - E24 ) , -424 , -75 , 351 , 858 , -51 , 896 , -404 , -267 , 590 , 18 , -368 , -267 , 216 
 597 , -355 , 294 , 837 , 87 , 96 , -15 ,= ( Y8 + ( C15 - ( X18 + F22 ) ) ) , 118 , -198 , -537 , 66 , -150 , 55 , -28 , -787 , -543 , -793 , 713 , 139 , 963 , 982 , -751 , 32 , -798 
 -935 , -627 , -35 , 326 , 40 , -510 , 139 , 93 , 523 , -877 ,= ( C4 - ( C18 - ( N3 + L24 ) ) ) , -908 , 449 , 719 , -665 , -688 , -268 , -293 , -301 , -833 , -48 , 256 , 527 , -707 ,= ( ( ( X18 + C18 ) - K8 ) + C4 ) 
 -412 , 893 , -474 , 620 , -870 , -36 , 894 , 185 , 563 , 1 , -476 , -360 , -728 , 404 , -577 , 873 , 650 , -75 , -832 , 474 , 256 , 690 , 166 , 893 , 892 
 814 , -568 ,= ( H7 + ( ( C15 + X18 ) - C18 ) ) , -444 , -584 , -233 , 553 , 44 , 456 , 152 , -130 , -553 , 68 , -676 , -969 , 73 , 833 , 463 , -647 , -945 , 899 , -498 , -828 , -977 , 423 
 -871 , -946 , 407 , 997 , -935 , -576 , -548 , -199 , 701 , -656 , 422 , 411 , 110 , -567 , 459 , 696 , -199 , -241 , -838 , -42 , -856 , -856 , 492 , -986 , 851 
= ( Y8 + ( ( F22 + J18 ) - Y26 ) ) , 986 , 531 , -991 , 174 , 411 , -546 ,= ( ( C4 + ( X18 - C18 ) ) + C15 ) , 893 , 573 , -318 , 966 , -71 , -584 , -496 , 573 , -435 , -806 , -40 , -853 , -719 , 256 , 348 , 634 , 277 
 -408 , 592 , -924 , -319 , -798 , -181 , -404 , -171 , 930 , 252 , 885 , 494 , -330 , 105 , 662 , -527 , 905 , 619 , 168 , 681 , -982 , -563 , 426 , -992 , -668 
 -921 , 719 , 598 , -588 , 267 , 608 , -842 , -410 , 254 , -563 , 76 , 474 , 757 , 116 , -15 , -481 , 716 , 839 , -273 , -167 , -576 , 41 , -291 , -75 , 466 
 -987 ,= ( C4 - ( W15 + ( Q26 + W25 ) ) ) ,= ( ( ( C4 + C18 ) + X18 ) - Y8 ) , -878 , 195 , -122 , 235 , 56 , -741 , 206 , -591 , 572 , 508 , -294 , 708 , -325 , -379 , -87 , -497 , -165 , -127 , 317 ,= ( ( ( Q26 + W18 ) - K23 ) - E20 ) , 673 , 412 
 -145 , 148 , -753 , -964 , -26 , 163 , -313 , 577 , 578 , -7 , 106 , 178 , 777 , -44 , 728 ,= ( X18 - ( H7 + ( A26 - C10 ) ) ) , -115 , 514 , -570 , 267 , 984 , -469 , -116 , -614 , -221 
 -39 , 412 , 977 , 918 , 896 , 445 , -975 , 109 , 342 , -498 , -372 , -222 , -293 , 20 , -747 , 677 , 697 , -481 , 27 , 671 , -5 , 964 , -71 , -653 , -956 
 -169 , -326 ,= ( ( ( C4 + B3 ) - L22 ) + V1 ) , -508 , -8 , -638 , 878 , 602 , -612 ,= ( K8 - ( A24 - ( P16 + C4 ) ) ) , -676 , 878 , -572 , -499 , -128 , -573 , 400 , 801 , -420 , -191 , -396 , -343 , 874 ,= ( C4 + ( ( K8 + C18 ) - T12 ) ) , 842 
 381 , -84 , 271 , -233 , -434 , 378 , -606 , 32 , 99 , 222 , -38 , -153 , 782 , 669 , -156 , 291 , 500 , -37 , -994 , 504 , 663 , -258 , 4 , -154 , 451 
 840 , 245 , 775 , 578 , -141 , -766 , 379 , 617 , 585 , 549 , 261 , 5 , 750 , 528 , 545 , -24 , 901 , 676 , -357 , -200 , 175 , 734 , 111 , -38 , 222 
 758 , 889 , -64 , 690 , 962 , 662 , -918 , -672 , 431 , -66 , -920 , -615 , -968 , 284 , -441 , -170 , -967 , 747 , -940 , -741 , -454 , 644 , -588 , 62 , -470 
 -555 , -301 , 908 , -511 , -879 ,= ( ( K8 - ( C4 - X18 ) ) - C15 ) , 314 , -291 , 446 , -256 , -817 , 463 , 960 , -691 , -238 , 904 , 941 , -431 , -506 , 573 , -144 , 632 , -141 , 510 , 540 
 324 , 891 , 385 , 623 , -638 , 221 , -507 , 169 , -550 , 574 , -851 , 577 , 193 , -759 , -811 , 531 , 888 , -927 , 434 , -734 , 125 , -526 , 235 , -662 , 619 
= ( ( ( C18 - C10 ) - H12 ) - P16 ) , -901 , 406 , -223 ,= ( O1 + ( A12 + ( T2 + K8 ) ) ) , 539 , 32 , -323 , -968 , 573 , -233 , 393 , 744 , -689 , -573 , 2 , -551 , 255 , -810 , 55 , 866 , -372 , -45 , -934 , -417 
 -597 , 809 , 502 , 206 , -539 , 615 , -207 , 561 , 94 , -227 , -546 , -828 , -851 , 556 , -747 , -32 , -103 , 267 , 99 , 845 , 228 , -896 ,= ( ( ( C4 - T9 ) - U1 ) - B15 ) , 856 , 743 
= ( C4 + ( C18 + ( H7 + F22 ) ) ) , -93 , 470 , -700 , 161 , 437 , 404 , -234 , 270 , 478 , 960 , 5 , -597 , -163 , -878 , 987 ,= ( L8 - ( V12 - ( Y7 - W15 ) ) ) , -701 , -295 , 901 , 59 , -782 , -865 , -161 ,= ( ( X18 - ( H7 - K8 ) ) + C10 ) 
