 749 , 994 , 84 , -254 , 414 , 293 , 683 , -191 , 289 , -552 , 616 , 939 , 517 , 265 , -630 , -512 , 55 , 916 , -531 , -470 , -352 , -681 , -59 , -377 , 459 
 -407 , -704 , 182 , -220 , 451 , 871 , 390 , 481 , -554 , 132 , -700 , -164 , 507 , -565 , 574 , 562 , 585 , -989 , -291 , -996 , 51 , -551 , -876 , 333 , 430 
 69 , 48 , 852 , -4 , 183 , -117 , -99 , 469 , -581 ,= ( Q8 + H4 ) , -147 , 405 , -121 , 329 , 529 , 244 , 959 , 801 , 977 , 734 ,= ( Q23 + M11 ) , 145 , -769 , 648 , 886 
 359 , -676 , 510 , 925 , -871 , -330 , -463 ,= ( M11 - V13 ) , 948 , 477 , -2 , 312 , -407 , -449 , 42 , -332 , 320 , 812 , 53 , 14 , -370 , -747 , -722 , 182 , 242 
 -460 , 257 , 932 , 385 , 831 , 276 , -859 , -64 , 780 , 245 , -37 , 973 , -15 , -275 , -750 , -959 , 877 , -766 , 911 , -893 , -213 , -224 , 205 , -669 , -562 
 13 , 866 , 860 , 197 , -854 , 449 , 202 , -916 ,= ( R6 + B22 ) , -275 , 915 , 439 , 447 , 573 , 739 , -780 , -416 ,= ( M11 + N8 ) , -726 , -374 , -739 , 824 , -841 , -485 , 472 
 -591 , -814 , -935 , 620 ,= ( Q13 + U3 ) , 359 , 461 , 257 , 275 , -52 , 44 , -358 , 947 , -375 , 81 , 342 , -727 , -860 , -530 , 58 , -969 , -669 , 548 , 672 , 31 
 721 , 163 , -416 , -787 , -243 , 551 , 787 , 62 , 29 , -522 , 623 , 63 , 851 , 432 , -186 , 402 ,= ( B22 + Q10 ) , -834 , -217 , -969 , -124 , -222 , -759 , 588 , -418 
 325 , 137 , 827 , -402 , 249 , 723 , 284 , 610 , 251 , -746 , -16 , -249 , -409 , -846 , -720 , 430 ,= ( M11 + R6 ) , 976 , 667 , -617 , -861 , -24 , -695 , 569 , 67 
 247 , -254 , -953 , -2 , 249 ,= ( Q10 - Q23 ) , 254 , -98 , 654 , 234 , -835 , 836 , 668 , -221 , -728 , 514 ,= ( B22 + Q9 ) , 759 , 667 , -999 , -164 , -418 , 878 ,= ( R6 - V13 ) , 517 
 -230 , -334 , 853 , 987 , -314 , -644 , 532 , -697 , -155 , 450 , -138 , -150 ,= ( I2 - M6 ) , 301 , -334 , -156 , 191 , -260 , 514 ,= ( M11 - I6 ) , 685 , -833 , 525 , -60 , 440 
 215 , 223 , 356 , -109 , -598 , 567 , 279 , 447 , 214 , 63 , -162 , 421 , 817 , 244 , 208 , -495 , -246 , 101 , 820 , 589 , -275 , -245 , 118 , -76 , -389 
 -581 , 942 , -303 , -516 , -880 , 804 , 411 , 493 , -410 , -772 , 11 , -423 , 599 , -217 , 187 , -977 ,= ( Q23 - M11 ) , -653 , 60 , -822 , -185 ,= ( U3 + Q8 ) , 989 , -966 , 476 
 -188 , -31 , 461 , -124 , 594 , 787 , -155 , -778 , -987 , -637 , 670 , 726 , -300 , 991 , -992 , 572 ,= ( J3 - U23 ) , -294 , -979 , -270 , 298 , 736 , 300 , -390 , -175 
 -379 , 77 , -147 , -688 , 279 , 904 , 425 , 608 , -902 , -401 , 145 , 587 , -755 , 735 , -839 , 790 , 958 , -882 , 49 , -42 , 292 , 957 , 624 , 314 , 660 
 -89 , -323 , -452 , -515 , 569 , -327 , -815 , -384 , -865 , -75 , 893 , -461 , -765 , -553 , -614 , 305 , 354 , -767 , -180 , 794 , 15 , 382 , -614 , -462 , 269 
 -347 ,= ( P19 + Q23 ) , 566 , -306 , -121 , 279 ,= ( N24 + B22 ) , -102 , -906 , -289 , 432 , -107 , 949 , -305 , -782 , 338 , 330 , 519 , 365 , -276 , -765 , -433 , 983 , 948 , 336 
 490 , -443 , 723 , 855 , -314 , 747 , -575 , -418 , 682 , 128 , 113 , 476 , 781 , 861 , -454 , -355 , 318 , -625 , 969 , -833 , -352 , -654 , 468 , -687 , 791 
 23 , 876 , -13 , -938 , -203 , 38 , -412 , 177 , -651 , 238 , 663 , 795 , -316 , -738 , 247 ,= ( D25 + Q23 ) , 295 , -972 , 806 , 989 , -44 , 14 , 657 , -383 , -987 
 6 , 614 , 804 , -383 , -805 , -319 , -38 , -83 , 324 , -311 , -904 , 525 , -31 , 15 , -51 , 125 , -965 , 880 , 623 , -26 , 903 , 789 , 797 , 383 , 986 
 759 , -670 , -515 , -333 , 68 , -577 , -408 , 695 , -818 , -794 , -450 , -338 , 124 , 169 , 386 , 261 , 285 , 170 , -852 , -378 , -503 , -716 , 663 , 10 , -214 
