 723 , 64 , 846 , -644 , 339 , 303 , 17 , -291 , -969 
 658 , -925 , -686 , 898 , -248 , 800 , 783 , -482 , -706 
 855 , -495 , 320 , 352 , 312 , -96 , -467 , 68 , 699 
 -954 , 877 , -402 , 475 , -540 , 65 , 82 , 634 , 705 
 870 , -940 , -930 , 428 , -527 , 284 , 416 , 258 , 159 
 -474 , 119 , -230 , -178 , -966 , 258 , 935 , -908 , -125 
 -715 , -971 , -22 , -187 , -259 , -564 , 979 , 71 , -581 
 683 , -662 , -160 , 605 , -342 , -496 , -241 , 720 , -50 
 446 , -783 , 887 , 803 , -738 , -678 , 991 , 482 , 5 
 -703 , -860 , -305 , 12 , 871 , -679 , 147 , -654 , 781 
